RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP (Socialistische Partij);Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;3574;3210;37;;3173;1085;1104;471;123;253;16;12;19;10;11;8;40;3;13;;1;1;1;2;;;;;
Dinxperlo;G0219;11154;Gelderland;P25;4676;4097;20;;4077;962;2341;534;70;12;9;34;3;13;38;16;21;3;19;2;;;;;;;;;
Dirksland;G0504;11344;Zuid-Holland;P28;4631;4209;59;;4150;1303;788;452;103;1270;15;22;53;13;45;22;47;10;2;;3;1;;;;1;;;
Dodewaard;G0220;10647;Gelderland;P25;2463;2256;8;;2248;969;552;316;78;255;4;12;7;7;29;6;8;1;;2;;2;;;;;;;
Doesburg;G0221;10327;Gelderland;P25;6559;5804;22;;5782;2607;1793;797;227;27;31;68;39;28;33;27;18;4;43;15;;3;13;9;;;;;
Doetinchem;G0222;10396;Gelderland;P25;24285;21420;65;;21355;7890;7295;3615;998;172;120;397;104;133;238;150;68;27;83;50;;4;8;3;;;;;
Dokkum;G0066;10198;Fryslân;P21;7366;6742;34;;6708;1526;3935;546;208;102;25;72;153;13;17;23;78;2;5;1;;1;;1;;;;;
Domburg;G0660;10236;Zeeland;P29;2637;2783;6;;2777;654;934;610;101;304;12;20;41;9;15;21;45;4;5;;;2;;;;;;;
Dongen;G0766;11412;Noord-Brabant;P30;12852;11183;67;;11116;3396;4882;1619;539;8;77;206;7;57;146;33;3;15;67;34;18;5;2;2;;;;;
Doniawerstal;G0067;10086;Fryslân;P21;4070;3829;20;;3809;932;2081;478;136;34;14;44;13;10;25;15;14;2;7;1;;1;;2;;;;;
Doorn;G0315;10213;Utrecht;P26;8434;7126;43;;7083;1390;1948;2487;480;310;30;106;53;53;54;62;61;11;12;12;4;4;2;4;;;;;
Dordrecht;G0505;11157;Zuid-Holland;P28;72299;62088;466;;61622;27738;12919;11142;3221;1830;909;991;581;564;256;358;521;289;95;96;57;14;18;21;;2;;;
Dreumel;G0224;11232;Gelderland;P25;2184;1959;6;;1953;490;1034;246;71;;13;23;;12;28;5;;1;23;5;;1;;1;;;;;
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;11932;10998;69;;10929;2519;3267;3083;678;510;61;207;155;131;67;94;91;18;28;14;3;3;;;;;;;
Driebruggen;G0506;10830;Zuid-Holland;P28;2593;2383;24;;2359;268;1100;408;77;351;1;34;26;7;37;12;17;7;9;1;1;3;;;;;;;
Dronten;G0303;10210;Niet-provinciaal ingedeeld;P99;10176;9388;16;;9372;2308;3685;1885;478;147;68;181;190;50;49;50;230;25;20;;;3;2;1;;;;;
Drunen;G0767;10428;Noord-Brabant;P30;8831;7887;30;;7857;1838;3980;1221;394;6;38;111;6;55;106;28;5;13;28;23;2;1;1;1;;;;;
Druten;G0225;10068;Gelderland;P25;7690;6587;21;;6566;2137;3105;635;239;6;25;144;2;50;102;13;4;10;22;68;;2;2;;;;;;
Duiveland;G0662;11237;Zeeland;P29;3145;2880;10;;2870;819;557;449;91;818;4;17;43;12;11;17;26;4;;1;;;;1;;;;;
Duiven;G0226;11028;Gelderland;P25;5871;5313;31;;5282;1306;2712;721;223;8;14;92;14;24;78;18;4;25;28;13;;1;1;;;;;;
Dussen;G0769;10261;Noord-Brabant;P30;3639;3251;15;;3236;887;1559;372;95;131;10;24;16;7;48;12;27;6;29;2;9;1;1;;;;;;
Dwingeloo;G0112;10331;Drenthe;P22;2514;2571;11;;2560;1085;546;679;102;3;1;39;16;20;40;9;6;3;1;8;;2;;;;;;;
Echt;G0902;10941;Limburg;P31;12044;10203;129;;10074;2914;4753;1098;207;6;117;178;8;175;219;66;5;17;247;11;;37;10;6;;;;;
Echteld;G0227;10832;Gelderland;P25;4057;3799;17;;3782;1620;682;683;126;501;5;24;29;9;58;11;17;7;3;5;;1;;1;;;;;
Edam-Volendam;G0385;10884;Noord-Holland;P27;14254;13081;84;;12997;2669;6621;2233;619;12;100;223;17;49;74;77;5;45;232;2;;3;4;2;10;;;;
Ede;G0228;10743;Gelderland;P25;53156;48823;157;;48666;9550;16051;9746;2434;6369;118;635;628;232;1562;314;665;134;75;117;;12;6;12;;6;;;
Eelde;G0113;10622;Drenthe;P22;7092;6735;28;;6707;2464;1108;2091;611;6;46;113;39;58;59;52;17;24;7;6;;1;2;3;;;;;
Eemnes;G0317;10248;Utrecht;P26;3904;3638;18;;3620;732;1289;901;331;69;18;97;26;25;55;17;34;8;11;2;;2;1;2;;;;;
Eenrum;G0011;10904;Groningen;P20;1760;1637;6;;1631;895;191;301;46;3;13;49;87;21;4;6;7;2;3;2;;1;;;;;;;
Eersel;G0770;10741;Noord-Brabant;P30;6766;6067;22;;6045;854;3649;949;313;;14;105;;30;60;20;5;13;21;7;2;1;;2;;;;;
Egmond aan Zee;G0386;10421;Noord-Holland;P27;4026;3681;21;;3660;1763;671;779;195;2;65;53;7;23;22;40;4;21;10;1;;2;1;;1;;;;
Egmond-Binnen;G0387;10989;Noord-Holland;P27;3602;3294;19;;3275;630;1515;710;186;2;28;65;1;32;27;30;4;5;33;1;;1;3;2;;;;;
Eibergen;G0229;10436;Gelderland;P25;10401;9789;32;;9757;2671;5141;1106;321;7;19;133;18;62;110;23;26;10;82;23;;4;;1;;;;;
Eijgelshoven;G0904;10960;Limburg;P31;3996;3351;59;;3292;1379;1105;440;95;1;56;70;1;30;43;22;1;9;12;20;;3;2;3;;;;;
Eijsden;G0905;10314;Limburg;P31;4838;4204;37;;4167;1053;2026;718;114;1;18;62;;45;39;14;2;4;55;7;;7;2;;;;;;
Eindhoven;G0772;11298;Noord-Brabant;P30;134547;111281;557;;110724;36230;40362;17532;7300;165;992;2561;314;1436;823;813;177;309;586;890;86;60;56;32;;;;;
Elburg;G0230;11113;Gelderland;P25;11754;10947;53;;10894;1690;3327;2017;358;2191;36;88;210;47;247;52;604;12;6;5;;1;;2;;1;;;
Elsloo;G0903;11187;Limburg;P31;5439;4692;43;;4649;1442;2125;580;190;;71;88;1;27;37;11;;5;54;5;;12;;1;;;;;
Elst;G0231;11188;Gelderland;P25;10958;9646;84;;9562;2363;4641;1639;371;35;21;230;22;68;32;48;17;13;21;32;;2;1;6;;;;;
Emmen;G0114;11180;Drenthe;P22;58752;52240;287;;51953;25122;16017;5172;1764;124;1111;557;420;286;300;210;390;93;154;137;;26;28;42;;;;;
Enkhuizen;G0388;10729;Noord-Holland;P27;9362;8468;46;;8422;3147;2384;1414;550;187;191;133;80;77;55;65;94;18;14;4;;3;3;2;1;;;;
Enschede;G0153;10364;Overijssel;P23;96975;86145;354;;85791;37966;20667;12806;4251;305;2742;1402;2051;694;694;412;719;240;288;482;;33;26;13;;;;;
Epe;G0232;10940;Gelderland;P25;21815;20080;88;;19992;6792;5608;4396;1047;723;100;224;101;105;442;125;220;50;41;7;;4;2;5;;;;;
Ermelo;G0233;10732;Gelderland;P25;16277;14330;45;;14285;1662;6502;3140;586;844;52;282;466;74;184;109;328;25;12;12;;3;;2;;2;;;
Erp;G0775;10385;Noord-Brabant;P30;3452;3221;18;;3203;363;2435;244;60;;4;10;1;24;32;3;;4;8;8;3;1;3;;;;;;
Esch;G0776;10709;Noord-Brabant;P30;1148;1068;12;;1056;206;681;95;30;1;3;15;;7;6;2;;;7;2;1;;;;;;;;
Est en Opijnen;G0234;11092;Gelderland;P25;832;769;2;;767;343;140;151;27;71;2;9;4;7;6;5;;1;;1;;;;;;;;;
Etten-Leur;G0777;10750;Noord-Brabant;P30;17240;14716;73;;14643;4931;5916;2332;746;7;64;198;7;75;196;55;12;26;49;12;10;1;4;2;;;;;
Everdingen;G0508;10638;Zuid-Holland;P28;1196;1081;5;;1076;198;382;237;43;142;;10;8;8;34;2;5;4;3;;;;;;;;;;
Ewijk;G0235;10471;Gelderland;P25;3055;2789;11;;2778;619;1638;268;114;1;3;37;2;9;53;4;1;1;17;11;;;;;;;;;
Ezinge;G0012;10136;Groningen;P20;1224;1169;5;;1164;460;356;198;33;2;16;40;18;15;7;4;12;2;1;;;;;;;;;;
Ferwerderadeel;G0068;11284;Fryslân;P21;5488;5103;34;;5069;1059;2923;532;136;19;9;32;201;48;18;18;54;8;3;3;4;1;;1;;;;;
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;4222;3853;21;;3832;1312;1615;552;157;43;15;34;18;11;24;13;19;5;10;;1;1;1;1;;;;;
Finsterwolde;G0013;10212;Groningen;P20;2034;1862;21;;1841;541;87;172;20;2;952;14;3;8;7;11;18;3;1;;;1;1;;;;;;
Franeker;G0069;11226;Fryslân;P21;8142;7226;52;;7174;2650;2715;931;356;41;58;92;48;45;28;32;137;16;16;2;2;1;3;1;;;;;
Franekeradeel;G0070;10404;Fryslân;P21;2646;2430;22;;2408;816;1060;306;89;11;11;41;13;16;13;3;21;3;3;2;;;;;;;;;
Gaasterland;G0071;10036;Fryslân;P21;4830;4455;20;;4435;789;2647;409;144;184;17;54;27;32;37;31;39;7;12;1;4;1;;;;;;;
Gasselte;G0115;11099;Drenthe;P22;2860;2633;16;;2617;1394;419;509;114;9;84;35;8;8;15;7;5;1;;2;;4;2;1;;;;;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;4158;3519;26;;3493;1437;1231;441;172;11;28;50;4;14;45;17;1;3;19;6;12;;1;1;;;;;
Geervliet;G0509;10842;Zuid-Holland;P28;1668;1489;11;;1478;690;253;346;92;34;10;16;3;12;7;6;3;5;;;;;;1;;;;;
Geffen;G0780;10370;Noord-Brabant;P30;2765;2381;21;;2360;555;1317;247;75;1;4;28;1;2;48;11;1;2;14;50;2;2;;;;;;;
Geldermalsen;G0236;10881;Gelderland;P25;6258;5749;21;;5728;2295;1276;1050;230;608;29;78;25;22;40;30;23;16;4;1;;1;;;;;;;
Geldrop;G0781;10529;Noord-Brabant;P30;17242;14665;51;;14614;3918;6083;2659;1008;10;72;388;32;84;103;95;31;45;29;27;10;7;7;6;;;;;
Geleen;G0906;10048;Limburg;P31;24625;20796;234;;20562;7279;8180;3053;779;13;139;383;14;162;154;99;15;60;139;28;;41;14;10;;;;;
Gemert;G0782;10277;Noord-Brabant;P30;10412;8878;60;;8818;2404;4532;1013;315;1;63;117;4;88;116;46;4;16;47;32;10;8;2;;;;;;
Gendringen;G0237;10260;Gelderland;P25;12053;10821;46;;10775;2457;6550;894;262;20;48;146;25;76;123;24;12;6;103;18;;2;6;3;;;;;
Gendt;G0238;10440;Gelderland;P25;4415;3957;9;;3948;1143;2059;421;167;5;4;65;3;12;32;9;;4;18;6;;;;;;;;;
Genemuiden;G0154;10746;Overijssel;P23;3793;3472;9;;3463;615;1041;290;68;1040;4;21;72;3;44;11;248;3;2;;;1;;;;;;;
Gennep;G0907;10542;Limburg;P31;9826;7889;61;;7828;1949;3879;996;497;1;27;172;3;101;84;22;1;18;34;37;;5;1;1;;;;;
Geulle;G0908;10530;Limburg;P31;1972;1657;19;;1638;406;794;242;60;;12;42;;9;16;6;;3;40;2;;6;;;;;;;
Giessenburg;G0510;10255;Zuid-Holland;P28;2769;2586;14;;2572;622;913;481;96;264;4;18;40;7;46;8;69;3;;;1;;;;;;;;
Gieten;G0116;10506;Drenthe;P22;3966;3672;19;;3653;1950;455;942;141;3;30;27;12;10;26;36;3;6;4;4;;2;1;1;;;;;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;13056;11711;53;;11658;3351;5388;1786;563;11;38;143;4;69;155;54;6;23;31;19;10;4;3;;;;;;
Goedereede;G0511;10981;Zuid-Holland;P28;6496;6182;82;;6100;1448;1108;805;150;2312;15;28;65;7;79;25;45;11;;1;;;;;;1;;;
Goes;G0664;10674;Zeeland;P29;20451;17931;57;;17874;5924;5520;2974;931;1315;78;291;179;77;130;108;209;49;67;16;;1;1;4;;;;;
Goirle;G0785;10971;Noord-Brabant;P30;9294;8049;43;;8006;2399;3346;1266;431;3;47;209;4;93;62;40;5;18;19;21;38;2;3;;;;;;
Goor;G0156;10076;Overijssel;P23;7800;7224;26;;7198;3142;2082;1194;375;10;38;101;50;19;62;46;18;10;26;24;;1;;;;;;;
Gorinchem;G0512;10942;Zuid-Holland;P28;19024;16687;94;;16593;7994;3575;2615;795;447;200;260;121;85;64;160;169;70;8;9;9;7;1;2;;2;;;
Gorssel;G0239;10085;Gelderland;P25;10477;9734;40;;9694;2661;2887;2882;678;24;27;149;40;49;129;79;39;20;19;5;;4;1;;;1;;;
Gouda;G0513;10302;Zuid-Holland;P28;39950;35273;258;;35015;13580;8110;6744;2408;1485;415;605;366;350;147;301;208;125;88;25;22;14;13;9;;;;;
Gouderak;G0514;11258;Zuid-Holland;P28;1764;1594;13;;1581;500;350;355;85;200;8;12;19;10;12;3;18;4;1;2;1;;1;;;;;;
Goudriaan;G0515;10450;Zuid-Holland;P28;506;482;6;;476;71;177;89;21;91;1;2;7;;10;1;5;;;;;;1;;;;;;
Goudswaard;G0516;10914;Zuid-Holland;P28;1063;928;8;;920;286;133;133;12;320;;9;5;3;4;3;7;;;4;1;;;;;;;;
Graft-De Rijp;G0365;11417;Noord-Holland;P27;3305;3035;19;;3016;984;815;743;206;8;78;40;2;59;29;31;1;2;11;2;;2;1;1;1;;;;
Gramsbergen;G0157;11339;Overijssel;P23;3828;3610;20;;3590;1188;1767;306;63;4;4;21;105;6;69;12;40;;;;;4;1;;;;;;
Grathem;G0909;11008;Limburg;P31;1752;1554;13;;1541;200;990;224;31;;4;16;;18;23;5;1;;21;;;8;;;;;;;
Grave;G0786;10165;Noord-Brabant;P30;6276;5534;29;;5505;1310;2612;959;314;1;9;123;6;34;40;22;3;4;25;40;;3;;;;;;;
Grevenbicht;G0910;10624;Limburg;P31;1875;1679;21;;1658;545;783;194;57;;12;18;;10;15;8;4;1;8;1;;1;1;;;;;;
Grijpskerk;G0016;10244;Groningen;P20;2681;2511;14;;2497;402;1466;275;62;10;11;36;169;22;16;15;6;3;;3;;;;1;;;;;
Groenlo;G0240;11094;Gelderland;P25;5495;4929;2;;4927;992;2820;571;133;6;17;166;11;30;44;28;2;4;80;4;;2;;17;;;;;
Groesbeek;G0241;10616;Gelderland;P25;12659;11057;58;;10999;3769;5137;992;435;9;49;270;13;106;52;32;10;17;71;33;;3;1;;;;;;
Groningen;G0014;10426;Groningen;P20;123533;108387;505;;107882;46843;19121;15449;7095;233;4989;3554;4906;2643;371;768;571;333;173;726;;32;39;36;;;;;
Gronsveld;G0911;10323;Limburg;P31;2425;2202;5;;2197;436;1161;411;65;;12;29;;10;33;6;1;2;25;3;;3;;;;;;;
Groot-Ammers;G0520;11205;Zuid-Holland;P28;1864;1753;20;;1733;407;516;331;77;300;4;8;25;3;27;5;25;3;;;1;1;;;;;;;
Grootebroek;G0391;11337;Noord-Holland;P27;5428;4823;32;;4791;1251;2008;825;297;1;62;110;4;36;47;40;3;24;79;2;;2;;;;;;;
Grootegast;G0015;11080;Groningen;P20;5632;5152;30;;5122;1100;2783;459;95;24;34;44;291;22;157;13;77;17;2;2;;1;1;;;;;;
Grubbenvorst;G0912;10176;Limburg;P31;4078;3628;26;;3602;648;2072;605;135;;5;47;3;22;25;13;2;1;21;1;;2;;;;;;;
Gulpen;G0913;11032;Limburg;P31;3091;2805;27;;2778;803;1319;365;80;5;17;46;;18;41;15;1;1;58;2;;7;;;;;;;
Haaften;G0242;10125;Gelderland;P25;2546;2360;10;;2350;1009;608;369;70;192;5;24;19;8;22;4;15;3;;;;1;;1;;;;;
Haaksbergen;G0158;11435;Overijssel;P23;13514;12512;52;;12460;2945;6493;1739;535;5;46;194;16;51;229;47;18;18;101;15;;2;4;2;;;;;
Haaren;G0788;11155;Noord-Brabant;P30;3134;2761;14;;2747;444;1716;358;102;1;13;32;;24;27;8;;1;12;8;1;;;;;;;;
Haarlem;G0392;10357;Noord-Holland;P27;118675;103351;711;;102640;38706;24499;20763;7812;373;2600;2200;455;1428;777;1253;344;425;729;130;;61;43;42;;;;;
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;3100;2873;32;;2841;645;1177;604;151;17;57;50;16;26;19;30;3;13;25;6;;2;;;;;;;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;49689;44271;326;;43945;11081;13829;11852;3218;592;714;691;278;272;275;416;359;151;149;28;;15;12;13;;;;;
Haastrecht;G0521;11049;Zuid-Holland;P28;2875;2697;19;;2678;592;1089;537;153;108;8;66;23;30;27;9;17;3;13;1;;1;1;;;;;;
Haelen;G0914;10321;Limburg;P31;3762;3203;23;;3180;607;1623;533;119;1;7;44;2;22;61;17;4;4;121;1;;13;;1;;;;;
Hagestein;G0522;10297;Zuid-Holland;P28;819;770;4;;766;147;299;144;30;120;2;7;2;2;6;2;3;1;1;;;;;;;;;;
Halsteren;G0789;10387;Noord-Brabant;P30;8209;6931;65;;6866;2423;2381;1284;337;32;32;73;16;47;109;45;4;23;39;2;13;3;3;;;;;;
Haps;G0790;11283;Noord-Brabant;P30;1676;1605;10;;1595;246;1103;145;46;;1;11;;12;20;2;;1;5;2;;1;;;;;;;
Hardenberg;G0160;10174;Overijssel;P23;18284;17355;65;;17290;3886;8677;1310;334;41;31;138;2241;49;281;42;186;24;31;17;;2;;;;;;;
Harderwijk;G0243;10786;Gelderland;P25;18975;17294;57;;17237;2721;7246;3579;733;1206;90;259;383;55;293;123;451;34;38;19;;6;1;;;;;;
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;10446;9488;60;;9428;2940;1979;1185;294;2050;48;62;435;16;112;34;241;19;4;1;1;2;1;3;;1;;;
Haren;G0017;11058;Groningen;P20;13534;12563;35;;12528;3295;3295;3832;989;13;67;188;385;97;78;134;102;31;11;4;;;1;6;;;;;
Harenkarspel;G0395;10963;Noord-Holland;P27;3558;3214;31;;3183;791;1493;525;161;1;37;49;10;24;32;20;5;5;27;1;;;;;2;;;;
Harlingen;G0072;10909;Fryslân;P21;9981;9011;62;;8949;4080;2427;1148;509;34;96;122;312;35;34;48;43;17;24;7;5;4;1;3;;;;;
Harmelen;G0318;10183;Utrecht;P26;4372;3915;21;;3894;601;1678;1011;279;121;12;53;11;20;41;13;19;8;20;6;1;;;;;;;;
Haskerland;G0073;10022;Fryslân;P21;9801;8841;37;;8804;3266;3621;1040;378;53;56;123;49;34;74;40;37;12;19;;;;1;1;;;;;
Hasselt;G0161;10115;Overijssel;P23;3803;3514;8;;3506;705;1398;362;145;276;4;12;309;13;47;15;205;2;10;;;3;;;;;;;
Hattem;G0244;10673;Gelderland;P25;7535;7117;33;;7084;2307;2245;1012;319;101;48;46;634;10;62;28;248;13;6;;;2;;2;;1;;;
Havelte;G0117;10186;Drenthe;P22;4021;3777;16;;3761;1835;385;1104;184;17;15;54;16;23;50;42;12;8;;7;;2;3;4;;;;;
Hazerswoude;G0524;11257;Zuid-Holland;P28;6330;5844;49;;5795;966;2601;1218;316;248;33;117;27;42;31;31;125;11;19;8;1;;;1;;;;;
Hedel;G0245;10982;Gelderland;P25;2246;2058;4;;2054;471;883;289;88;233;9;9;23;5;14;8;2;10;5;4;;;1;;;;;;
Heel en Panheel;G0915;11208;Limburg;P31;3174;2229;16;;2213;461;1182;305;105;3;4;72;4;14;15;8;3;;20;3;;11;3;;;;;;
Heemskerk;G0396;10679;Noord-Holland;P27;19369;17346;103;;17243;5904;5592;2914;1382;42;263;473;69;157;97;163;49;47;68;16;;4;;3;;;;;
Heemstede;G0397;11288;Noord-Holland;P27;19681;17885;123;;17762;3106;5293;6677;1391;50;103;387;82;140;74;205;76;40;118;7;;7;2;4;;;;;
Heenvliet;G0525;10823;Zuid-Holland;P28;2086;1883;8;;1875;834;231;491;144;23;49;36;10;16;12;10;6;12;;1;;;;;;;;;
Heerde;G0246;10291;Gelderland;P25;11569;10690;34;;10656;3513;3558;1343;334;471;27;79;234;40;350;50;638;8;3;3;;2;2;;;1;;;
Heerenveen;G0074;10680;Fryslân;P21;24556;21879;132;;21747;9916;4783;3249;1181;64;1213;342;189;179;192;185;146;38;21;18;14;3;13;1;;;;;
Heerewaarden;G0247;10067;Gelderland;P25;780;740;3;;737;428;88;156;30;4;6;9;;5;5;2;;4;;;;;;;;;;;
Heerhugowaard;G0398;10752;Noord-Holland;P27;15994;14365;54;;14311;4074;4950;3218;1141;6;152;274;35;144;43;107;58;24;70;2;;4;2;5;2;;;;
Heerjansdam;G0526;10540;Zuid-Holland;P28;2332;2107;19;;2088;728;610;448;120;92;4;18;9;15;3;20;14;5;1;;;;1;;;;;;
Heerlen;G0917;10902;Limburg;P31;49934;40657;347;;40310;14154;14966;5463;1422;32;1616;796;77;324;275;233;41;141;367;290;;73;25;15;;;;;
Heesch;G0791;10149;Noord-Brabant;P30;5571;4979;38;;4941;1300;2643;572;136;;8;48;1;10;54;15;4;6;15;126;;2;;1;;;;;
Heeswijk-Dinther;G0792;10690;Noord-Brabant;P30;4735;4334;24;;4310;622;2946;412;166;;5;54;1;14;36;12;1;3;17;9;7;1;2;2;;;;;
Heeze;G0793;10462;Noord-Brabant;P30;5416;4829;17;;4812;906;2462;900;276;4;20;98;1;25;65;15;;3;28;4;;3;1;1;;;;;
Hei- en Boeicop;G0527;11024;Zuid-Holland;P28;616;592;6;;586;83;262;67;15;109;;6;1;3;31;2;7;;;;;;;;;;;;
Heiloo;G0399;10793;Noord-Holland;P27;13960;12927;70;;12857;2890;4031;4044;1022;12;116;268;36;127;58;120;15;33;68;2;;5;;6;4;;;;
Heinenoord;G0528;10821;Zuid-Holland;P28;2159;1996;12;;1984;755;491;348;103;139;5;20;29;7;27;16;29;13;;1;;;1;;;;;;
Heino;G0162;10854;Overijssel;P23;4153;3901;9;;3892;751;2152;491;175;11;8;50;82;19;47;14;71;5;14;1;;;;1;;;;;
Helden;G0918;10205;Limburg;P31;9966;8396;51;;8345;1415;5503;831;210;1;18;113;3;37;84;16;2;11;82;9;;9;1;;;;;;
Hellendoorn;G0163;10806;Overijssel;P23;21262;19892;61;;19831;4100;12018;1504;580;226;38;173;425;31;371;31;242;21;48;17;;5;1;;;;;;
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;9797;8853;44;;8809;4530;1088;1809;740;103;112;115;35;56;53;85;18;41;6;11;2;2;2;1;;;;;
Helmond;G0794;10932;Noord-Brabant;P30;38911;32241;196;;32045;12510;11298;4502;1495;18;666;500;13;176;225;130;10;98;143;196;17;29;10;9;;;;;
Helvoirt;G0795;10389;Noord-Brabant;P30;2760;2505;19;;2486;441;1313;467;157;3;7;25;3;7;26;12;1;3;16;;2;3;;;;;;;
Hemelumer Oldeferd;G0075;10334;Fryslân;P21;3007;3007;15;;2992;506;1850;297;120;40;9;29;49;14;36;10;24;2;2;2;1;1;;;;;;;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;9938;8957;0;;8957;2467;2262;1995;490;1081;32;154;121;32;95;77;109;23;3;3;5;5;;3;;;;;
Hengelo;G0164;10907;Overijssel;P23;49777;45666;131;;45535;17038;16154;6171;2613;93;431;758;410;372;364;222;237;120;198;317;;20;10;7;;;;;
Hengelo;G0248;10359;Gelderland;P25;5450;4920;20;;4900;1205;2472;716;183;44;4;44;13;17;132;24;6;8;24;5;;2;;1;;;;;
Hennaarderadeel;G0076;10877;Fryslân;P21;2995;2804;12;;2792;585;1598;347;99;16;11;35;15;30;21;10;16;3;5;;1;;;;;;;;
Hensbroek;G0401;10181;Noord-Holland;P27;955;865;13;;852;184;402;186;30;;9;13;;7;8;2;;3;8;;;;;;;;;;
Herten;G0919;10138;Limburg;P31;2257;2010;13;;1997;434;999;344;94;;4;48;;13;24;7;3;5;21;;;1;;;;;;;
Herwen en Aerdt;G0249;10819;Gelderland;P25;5330;4438;23;;4415;1498;2031;502;138;7;11;53;1;8;59;14;3;18;43;26;;2;1;;;;;;
Herwijnen;G0250;11266;Gelderland;P25;1555;1475;5;;1470;564;538;182;32;73;3;12;14;9;7;12;18;;2;2;;1;1;;;;;;
Het Bildt;G0063;10128;Fryslân;P21;5747;5300;32;;5268;1893;2212;674;157;14;72;58;27;47;27;27;38;9;2;7;2;2;;;;;;;
Heteren;G0251;10290;Gelderland;P25;5313;4830;15;;4815;1129;2370;586;219;245;23;63;32;30;44;24;23;8;13;5;;1;;;;;;;
Heukelum;G0533;11308;Zuid-Holland;P28;1786;1634;19;;1615;700;411;296;77;63;5;11;12;3;14;10;8;3;;;2;;;;;;;;
Heumen;G0252;10600;Gelderland;P25;4925;4510;6;;4504;973;2259;746;267;5;19;103;4;43;28;10;2;2;24;19;;;;;;;;;
Heusden;G0797;10307;Noord-Brabant;P30;3427;2910;19;;2891;793;1265;445;147;54;11;40;9;13;41;25;14;8;16;6;2;;1;1;;;;;
Heythuysen;G0920;10840;Limburg;P31;3445;2925;21;;2904;442;1725;407;101;1;14;63;3;8;67;7;;1;56;2;;4;1;2;;;;;
Hillegom;G0534;11236;Zuid-Holland;P28;11942;10655;78;;10577;2560;4547;2200;579;76;36;207;26;106;35;48;32;29;78;5;4;3;;6;;;;;
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;5475;5098;41;;5057;1127;2713;745;199;4;17;107;1;24;57;13;3;5;19;14;6;2;1;;;;;;
Hilversum;G0402;11285;Noord-Holland;P27;69040;60520;531;;59989;19612;14803;14650;4731;787;985;1136;385;698;280;522;475;267;286;297;;51;14;10;;;;;
Hindeloopen;G0077;10672;Fryslân;P21;565;532;4;;528;214;189;66;15;2;9;23;1;4;3;2;;;;;;;;;;;;;
Hoensbroek;G0921;11177;Limburg;P31;15455;12713;108;;12605;5537;3813;1682;373;9;365;274;23;87;100;55;10;28;158;58;;21;10;2;;;;;
Hoevelaken;G0253;11358;Gelderland;P25;4419;4073;10;;4063;833;1317;1015;313;338;10;49;65;17;38;21;31;10;3;2;;1;;;;;;;
Hoeven;G0799;10065;Noord-Brabant;P30;4807;4067;38;;4029;1142;1890;648;143;2;7;33;4;27;80;9;1;16;15;;5;4;2;1;;;;;
Holten;G0165;11246;Overijssel;P23;6012;5788;19;;5769;1554;2102;1377;307;41;10;59;23;12;200;33;24;19;2;3;;1;1;1;;;;;
Hontenisse;G0675;11123;Zeeland;P29;5421;4827;28;;4799;1319;2491;608;112;5;6;58;11;22;67;10;6;10;66;2;;4;2;;;;;;
