RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP (Socialistische Partij);Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek
Noordoostpolder;G0171;10144;Overijssel;P23;23109;21344;40;;21304;5147;9382;3442;1026;383;192;295;443;131;159;154;450;48;30;13;;6;1;2;;;;;
Noordwijk;G0575;10769;Zuid-Holland;P28;15753;13198;132;;13066;3068;4972;3037;698;156;90;474;74;102;91;107;30;32;96;10;14;10;1;4;;;;;
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;9068;8092;56;;8036;1357;3705;1886;451;16;42;120;18;133;97;52;7;19;115;12;5;;;1;;;;;
Nootdorp;G0577;10601;Zuid-Holland;P28;3968;3518;34;;3484;559;1640;845;229;24;14;39;15;19;28;25;8;18;14;1;3;1;;2;;;;;
Norg;G0120;10608;Drenthe;P22;4150;3836;12;;3824;1417;684;1162;211;20;16;56;38;27;121;31;9;17;1;9;;2;;3;;;;;
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;10049;9133;22;;9111;1870;4080;1972;742;2;21;168;22;67;58;47;11;13;24;7;5;1;;1;;;;;
Nuland;G0821;10118;Noord-Brabant;P30;2414;2128;14;;2114;347;1395;190;57;;1;18;1;4;18;1;;2;6;70;3;;1;;;;;;
Numansdorp;G0578;11346;Zuid-Holland;P28;5095;4718;29;;4689;2091;961;887;254;319;13;33;22;11;38;18;10;21;2;3;2;1;;2;;1;;;
Nunspeet;G0302;10512;Gelderland;P25;13959;13588;52;;13536;1867;4519;2333;483;2736;40;113;166;27;336;100;774;19;8;6;;5;2;1;;1;;;
Nuth;G0951;10104;Limburg;P31;5317;4784;39;;4745;1658;2006;578;130;1;38;134;1;35;44;12;2;7;60;16;;17;1;5;;;;;
Obbicht en Papenhoven;G0952;10388;Limburg;P31;1613;1402;14;;1388;438;700;126;37;;13;22;2;8;13;8;1;7;5;1;;7;;;;;;;
Obdam;G0429;11338;Noord-Holland;P27;2477;2305;16;;2289;363;1305;325;124;2;12;59;;16;16;19;2;1;45;;;;;;;;;;
Odoorn;G0122;11320;Drenthe;P22;8649;7850;48;;7802;3880;1509;1567;251;17;123;66;110;36;69;49;74;19;8;9;;5;2;8;;;;;
Oeffelt;G0822;10360;Noord-Brabant;P30;1342;1207;8;;1199;233;766;98;40;;8;18;;9;15;3;1;2;5;1;;;;;;;;;
Oegstgeest;G0579;10287;Zuid-Holland;P28;10855;9858;114;;9744;1589;2840;3469;943;62;44;272;92;97;34;139;57;25;53;14;6;3;3;2;;;;;
Ohé en Laak;G0953;10420;Limburg;P31;542;496;3;;493;76;316;60;6;;2;;2;3;3;4;;;16;;;5;;;;;;;
Oirsbeek;G0954;10504;Limburg;P31;3135;2880;19;;2861;742;1388;446;108;1;19;43;;20;30;18;;1;23;7;;14;1;;;;;;
Oirschot;G0823;10225;Noord-Brabant;P30;6675;6162;20;;6142;1185;3750;702;210;2;11;83;9;19;73;21;4;7;51;8;1;1;4;1;;;;;
Oisterwijk;G0824;10103;Noord-Brabant;P30;10480;9656;60;;9596;2825;3718;2074;465;9;53;129;7;50;100;35;12;20;55;11;26;1;4;2;;;;;
Oldebroek;G0269;11106;Gelderland;P25;12094;10939;68;;10871;2440;3387;996;236;2018;16;66;161;26;158;37;1307;7;4;2;;3;3;1;;3;;;
Oldehove;G0035;10298;Groningen;P20;1570;1479;7;;1472;365;551;266;42;2;8;23;185;8;3;3;12;;;1;;;3;;;;;;
Oldekerk;G0036;11332;Groningen;P20;1424;1332;4;;1328;278;644;256;33;5;2;10;71;5;11;1;7;5;;;;;;;;;;;
Oldenzaal;G0173;11100;Overijssel;P23;17673;16222;53;;16169;4255;8348;2065;708;12;61;214;56;91;134;34;12;18;121;35;;3;1;1;;;;;
Olst;G0174;10409;Overijssel;P23;5984;5583;26;;5557;2068;1922;1067;249;30;25;64;10;18;48;27;4;3;17;1;;2;1;1;;;;;
Ommen;G0175;11069;Overijssel;P23;10769;10386;35;;10351;1681;5745;1293;291;84;13;69;798;24;180;46;95;11;14;2;;2;;3;;;;;
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;2667;2453;14;;2439;297;1678;303;75;1;3;29;;11;24;11;;3;3;1;;;;;;;;;
Oostburg;G0692;10782;Zeeland;P29;13103;11806;80;;11726;4271;3221;3019;376;169;45;207;69;62;96;63;39;30;47;4;;6;1;1;;;;;
Oostdongeradeel;G0084;11102;Fryslân;P21;4159;3934;17;;3917;435;2960;288;52;26;3;22;57;11;17;8;31;4;1;;;1;;1;;;;;
Oosterbroek;G0033;11282;Groningen;P20;3503;3022;16;;3006;1710;360;490;93;4;138;25;68;36;36;22;7;9;3;;;;5;;;;;;
Oosterhesselen;G0123;10490;Drenthe;P22;3180;2889;19;;2870;1094;818;593;105;7;48;18;96;10;31;17;27;;;2;;1;;3;;;;;
Oosterhout;G0826;11280;Noord-Brabant;P30;27221;23820;164;;23656;8468;8544;4048;1350;24;105;380;22;102;249;98;17;55;124;25;20;10;10;5;;;;;
Oostflakkee;G0580;10714;Zuid-Holland;P28;6346;5778;29;;5749;2229;1592;657;168;811;20;40;55;18;46;13;61;17;16;1;;4;;;;1;;;
Ooststellingwerf;G0085;10836;Fryslân;P21;15295;13827;107;;13720;6108;3754;1953;480;74;333;131;229;236;179;102;57;42;9;12;13;1;5;2;;;;;
Oostvoorne;G0581;10009;Zuid-Holland;P28;4472;4552;37;;4515;1578;727;1676;273;38;41;50;2;28;28;44;7;13;;3;5;1;1;;;;;;
Oostzaan;G0431;11303;Noord-Holland;P27;4561;4111;29;;4082;1650;511;884;321;35;375;65;10;67;22;55;41;35;4;4;;;1;;2;;;;
Ootmarsum;G0176;11079;Overijssel;P23;2580;2590;5;;2585;364;1710;317;91;4;3;25;1;8;14;6;1;3;32;6;;;;;;;;;
Ophemert;G0270;10829;Gelderland;P25;1061;963;5;;958;356;228;206;30;35;3;12;3;6;69;6;2;;;1;;1;;;;;;;
Oploo, Sint Anthonis en Ledeacker;G0827;11415;Noord-Brabant;P30;4315;4055;16;;4039;451;3029;304;99;2;9;56;;39;19;14;;3;11;;;1;1;1;;;;;
Opmeer;G0432;10609;Noord-Holland;P27;3085;2797;15;;2782;635;1323;503;144;1;17;42;4;10;24;16;;3;58;;;1;;1;;;;;
Opperdoes;G0433;10523;Noord-Holland;P27;1055;985;4;;981;161;482;111;38;94;5;20;10;5;9;5;34;5;;;;2;;;;;;;
Opsterland;G0086;10005;Fryslân;P21;16824;15025;114;;14911;6547;3680;2060;658;71;519;200;614;140;149;83;122;24;7;4;20;6;3;4;;;;;
Oss;G0828;10834;Noord-Brabant;P30;29496;25401;121;;25280;8243;8869;3838;1444;11;66;417;24;156;193;101;9;38;129;1711;13;10;4;4;;;;;
Ossendrecht;G0829;10929;Noord-Brabant;P30;3408;2864;23;;2841;968;1198;455;101;3;12;21;2;17;29;10;;6;16;2;1;;;;;;;;
Ottoland;G0582;10097;Zuid-Holland;P28;513;490;0;;490;49;260;42;11;85;2;9;5;1;9;3;12;1;;1;;;;;;;;;
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;5497;4706;45;;4661;1565;2109;587;141;;32;36;;24;89;29;;6;35;;5;1;2;;;;;;
Oud-Alblas;G0583;10826;Zuid-Holland;P28;1233;1136;11;;1125;226;373;147;42;252;6;11;16;4;10;8;25;2;1;;2;;;;;;;;
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;9694;8814;51;;8763;2759;2058;1852;543;1071;32;91;99;33;28;37;120;27;1;2;2;2;2;;;4;;;
Oude Pekela;G0038;10848;Groningen;P20;5842;5151;33;;5118;2799;748;387;94;10;891;56;16;26;19;14;39;4;5;1;;5;4;;;;;;
Oudenbosch;G0830;10397;Noord-Brabant;P30;7411;6318;57;;6261;2007;2668;1014;237;7;23;81;;51;62;33;1;11;50;1;12;2;;1;;;;;
Oudendijk;G0435;11090;Noord-Holland;P27;343;313;1;;312;111;34;113;17;1;8;11;;5;4;4;1;;2;1;;;;;;;;;
Oudenhoorn;G0586;10380;Zuid-Holland;P28;931;826;9;;817;355;119;246;43;11;8;6;6;;15;3;2;3;;;;;;;;;;;
Ouder-Amstel;G0437;10998;Noord-Holland;P27;7795;7069;47;;7022;1704;2165;1924;558;80;131;121;13;82;45;91;37;27;26;8;;7;2;1;;;;;
Ouderkerk aan den IJssel;G0587;10095;Zuid-Holland;P28;3781;3477;23;;3454;846;604;808;173;860;9;27;26;13;27;12;34;5;3;5;;;;2;;;;;
Oudewater;G0589;10188;Utrecht;P26;4689;4253;43;;4210;793;1997;805;204;181;13;62;32;13;29;15;20;11;31;;2;2;;;;;;;
Overasselt;G0271;10952;Gelderland;P25;2135;2014;6;;2008;254;1371;189;85;2;3;38;2;20;26;5;;1;6;6;;;;;;;;;
Pannerden;G0272;10518;Gelderland;P25;1411;1230;6;;1224;353;721;69;24;;3;12;1;1;30;1;;3;2;3;;;1;;;;;;
Papendrecht;G0590;10427;Zuid-Holland;P28;15945;14219;48;;14171;5421;3226;2837;1014;828;81;168;115;95;43;95;155;49;10;15;7;7;4;1;;;;;
Peize;G0124;10501;Drenthe;P22;3280;2966;25;;2941;1414;263;750;213;6;49;50;11;26;99;32;8;10;1;6;;1;1;1;;;;;
Piershil;G0591;10179;Zuid-Holland;P28;924;862;4;;858;353;129;169;42;129;3;11;5;2;4;2;5;2;;;2;;;;;;;;
Pijnacker;G0594;10031;Zuid-Holland;P28;9968;9258;53;;9205;1720;3843;2171;620;321;38;144;101;43;35;53;41;43;24;2;5;;;1;;;;;
Polsbroek;G0338;10993;Utrecht;P26;745;693;4;;689;86;272;168;4;120;;6;2;2;16;1;6;2;4;;;;;;;;;;
Poortugal;G0592;11395;Zuid-Holland;P28;14046;12128;111;;12017;6824;1951;1417;692;240;201;215;79;82;42;73;47;101;16;11;9;2;10;;;5;;;
Posterholt;G0956;10456;Limburg;P31;2581;2190;31;;2159;731;921;301;26;3;27;28;;13;44;14;3;;20;1;;26;;1;;;;;
Prinsenbeek;G0832;11354;Noord-Brabant;P30;6218;5630;20;;5610;1277;2531;1327;271;;13;54;7;21;50;29;2;10;12;2;;3;;1;;;;;
Purmerend;G0439;11066;Noord-Holland;P27;21843;19409;88;;19321;7471;3242;4717;1576;33;953;509;33;258;84;212;55;99;39;10;;4;8;6;12;;;;
Putte;G0833;10099;Noord-Brabant;P30;2080;1697;28;;1669;556;560;373;75;1;2;15;;4;36;17;1;8;11;;4;3;1;2;;;;;
Putten;G0273;11109;Gelderland;P25;12021;11286;54;;11232;1843;4243;1913;362;1852;52;83;130;29;347;75;259;16;12;10;;3;2;;;1;;;
Puttershoek;G0593;10222;Zuid-Holland;P28;3720;3421;23;;3398;1429;790;652;180;236;15;12;25;6;9;21;7;11;;2;1;;;2;;;;;
Raalte;G0177;10279;Overijssel;P23;15025;14050;26;;14024;2294;9354;1162;524;16;29;183;45;46;182;50;27;14;66;29;;2;;1;;;;;
Raamsdonk;G0834;11391;Noord-Brabant;P30;7414;6368;59;;6309;2335;2563;884;215;74;25;60;12;26;58;12;6;6;24;5;2;1;1;;;;;;
Rauwerderhem;G0087;10330;Fryslân;P21;1802;1655;8;;1647;639;483;313;107;2;13;27;4;18;11;21;3;2;2;;1;;;1;;;;;
Ravenstein;G0835;10805;Noord-Brabant;P30;4842;4379;21;;4358;1138;2458;396;138;;14;34;;31;42;8;2;1;18;74;2;;1;1;;;;;
Reeuwijk;G0595;10485;Zuid-Holland;P28;5688;5174;35;;5139;1117;1596;1521;316;276;32;65;46;22;28;43;27;18;25;3;1;1;;2;;;;;
Reimerswaal;G0703;10077;Zeeland;P29;12740;11241;42;;11199;2927;2872;1628;421;2638;34;106;174;33;116;59;132;40;13;4;;;2;;;;;;
Renkum;G0274;11325;Gelderland;P25;25015;22754;96;;22658;6223;7541;5676;1310;324;157;458;157;176;133;192;115;49;73;57;;4;2;6;;5;;;
Renswoude;G0339;10269;Utrecht;P26;1969;1755;0;;1755;270;720;323;55;171;4;47;18;12;86;16;25;6;1;;;;;1;;;;;
Reusel;G0836;10162;Noord-Brabant;P30;4478;3791;16;;3775;626;2556;341;110;1;6;43;;14;37;14;;4;21;1;1;;;;;;;;
Rheden;G0275;11355;Gelderland;P25;34838;31749;127;;31622;12234;8851;6619;1842;168;165;492;248;249;187;215;123;79;90;44;;4;3;6;;3;;;
Rhenen;G0340;10309;Utrecht;P26;11417;10352;59;;10293;3343;2418;2058;474;1373;39;98;99;49;101;51;132;19;8;23;3;4;1;;;;;;
Rhoon;G0596;10903;Zuid-Holland;P28;4798;4425;20;;4405;1083;1460;1309;278;79;14;56;22;9;9;27;26;19;10;1;1;;1;;;1;;;
Ridderkerk;G0597;10646;Zuid-Holland;P28;29897;26855;130;;26725;11031;5840;4049;1377;2823;190;254;319;153;81;149;238;141;16;17;25;8;9;3;;2;;;
Riethoven;G0837;10455;Noord-Brabant;P30;1346;1249;4;;1245;120;765;261;49;1;3;13;;8;7;8;1;3;1;4;;1;;;;;;;
Rijnsaterwoude;G0601;11129;Zuid-Holland;P28;775;737;8;;729;138;274;177;38;46;8;10;4;1;15;2;9;1;4;;1;1;;;;;;;
Rijnsburg;G0602;11118;Zuid-Holland;P28;6888;6438;55;;6383;728;3669;1004;175;196;11;31;312;18;30;13;182;5;3;;1;2;;3;;;;;
Rijsbergen;G0841;10866;Noord-Brabant;P30;3421;2919;23;;2896;568;1624;485;82;;7;31;;7;64;11;1;3;9;;3;1;;;;;;;
Rijssen;G0178;10358;Overijssel;P23;12920;12075;58;;12017;2017;3073;731;243;4930;17;51;105;24;155;25;602;22;19;1;;;1;1;;;;;
Rijswijk;G0603;11133;Zuid-Holland;P28;39143;35200;166;;35034;9283;8918;10781;3136;269;237;591;207;306;122;529;168;227;143;58;24;8;23;4;;;;;
Rockanje;G0598;10464;Zuid-Holland;P28;3862;3503;41;;3462;1182;732;1040;239;29;47;30;16;15;55;30;18;14;;4;6;4;;;;1;;;
Roden;G0125;10699;Drenthe;P22;10988;10140;32;;10108;3999;2230;2241;754;24;114;167;178;59;182;59;53;18;6;14;;2;2;6;;;;;
Roermond;G0957;11313;Limburg;P31;24792;19478;234;;19244;5769;7464;3768;700;11;137;487;19;123;275;104;19;49;229;22;;54;7;7;;;;;
Roggel;G0958;10505;Limburg;P31;2671;2316;17;;2299;346;1433;282;51;;6;42;1;15;55;9;2;1;47;1;;7;;1;;;;;
Rolde;G0126;10470;Drenthe;P22;4177;3754;15;;3739;1483;416;1337;243;7;12;82;21;36;40;33;3;13;2;5;;1;1;4;;;;;
Roosendaal en Nispen;G0838;10407;Noord-Brabant;P30;36284;30587;277;;30310;9717;12086;5489;1399;18;123;323;24;151;419;160;19;117;138;42;58;15;8;4;;;;;
Roosteren;G0959;10954;Limburg;P31;1058;950;8;;942;281;498;95;23;;1;12;;5;10;;1;1;10;1;;4;;;;;;;
Rosmalen;G0839;10970;Noord-Brabant;P30;13602;11637;91;;11546;2843;4989;2360;702;11;29;171;17;77;103;65;4;13;67;74;12;1;5;3;;;;;
Rossum;G0276;10860;Gelderland;P25;1941;1757;4;;1753;603;700;293;54;18;11;24;2;7;23;7;;1;6;1;;3;;;;;;;
Rotterdam;G0599;10345;Zuid-Holland;P28;437641;369018;2087;;366931;203181;58986;48584;18280;6216;8485;4927;2366;3608;1268;2845;1491;3894;1024;671;514;136;276;144;;35;;;
Rozenburg;G0600;11314;Zuid-Holland;P28;8856;7700;40;;7660;3416;1769;1317;499;79;87;134;125;37;37;39;31;51;4;21;1;;9;2;;2;;;
Rozendaal;G0277;10684;Gelderland;P25;1053;1026;0;;1026;143;257;454;84;3;2;49;5;5;3;7;8;1;3;1;;;;;;1;;;
Rucphen;G0840;11152;Noord-Brabant;P30;13232;10370;122;;10248;4147;4134;1174;216;5;29;71;5;34;307;31;6;14;41;7;24;1;2;;;;;;
Ruinen;G0127;10629;Drenthe;P22;4576;4435;28;;4407;1669;890;1357;177;20;17;55;32;12;90;32;18;19;4;10;;3;1;1;;;;;
Ruinerwold;G0128;10944;Drenthe;P22;2279;2163;8;;2155;621;562;693;101;5;3;28;54;12;44;15;2;4;2;5;;1;1;2;;;;;
Ruurlo;G0278;10879;Gelderland;P25;5042;4554;26;;4528;1440;1435;1221;181;7;17;34;15;8;105;28;6;3;21;5;;1;;1;;;;;
Sas van Gent;G0704;11405;Zeeland;P29;5883;4970;29;;4941;1966;1633;854;175;32;26;74;15;18;56;23;3;15;30;17;;3;1;;;;;;
Sassenheim;G0604;10612;Zuid-Holland;P28;8202;7590;48;;7542;1237;3653;1770;404;68;33;113;30;35;43;40;31;18;48;10;3;4;;2;;;;;
Schaesberg;G0960;11335;Limburg;P31;11790;10049;97;;9952;3846;3489;1405;364;6;198;234;10;57;98;46;6;44;59;71;;11;4;4;;;;;
Schagen;G0441;10511;Noord-Holland;P27;9927;8874;49;;8825;2978;1733;2698;781;12;149;146;27;99;29;109;24;8;22;3;;2;;1;4;;;;
Schaijk;G0843;10276;Noord-Brabant;P30;4458;4000;29;;3971;722;2473;450;156;1;8;29;1;27;33;4;3;1;15;47;;;1;;;;;;
Scheemda;G0039;10711;Groningen;P20;5535;5041;27;;5014;2421;1271;550;119;17;388;47;63;35;17;32;30;11;1;9;;1;2;;;;;;
Schelluinen;G0605;11399;Zuid-Holland;P28;727;663;5;;658;243;105;162;38;62;5;7;3;1;3;7;20;;1;1;;;;;;;;;
Schermer;G0458;10308;Noord-Holland;P27;2603;2401;17;;2384;781;724;548;131;17;40;42;5;36;21;20;3;5;7;1;;1;;;2;;;;
Scherpenzeel;G0279;11146;Gelderland;P25;4906;4554;10;;4544;1046;1498;1047;143;519;5;30;35;12;53;17;127;5;3;1;;;3;;;;;;
Schiedam;G0606;11260;Zuid-Holland;P28;55197;48616;229;;48387;24445;10729;6383;2532;545;1035;739;140;390;147;249;348;371;180;78;26;11;25;10;;4;;;
Schiermonnikoog;G0088;10355;Fryslân;P21;614;1022;4;;1018;236;351;219;92;2;6;43;20;25;1;10;7;2;2;1;;;1;;;;;;
Schijndel;G0844;11178;Noord-Brabant;P30;12318;10463;65;;10398;3082;4901;1267;435;5;36;146;4;55;181;34;3;22;75;121;21;2;4;4;;;;;
Schimmert;G0961;11076;Limburg;P31;2204;1963;11;;1952;348;1125;290;59;1;8;35;;15;34;4;1;1;24;3;;3;;1;;;;;
Schinnen;G0962;10132;Limburg;P31;4272;3711;38;;3673;1099;1681;548;106;2;20;69;4;34;33;10;2;3;35;10;;13;2;2;;;;;
Schinveld;G0963;10492;Limburg;P31;3294;2879;29;;2850;818;1355;279;47;;24;110;1;17;59;15;;6;99;6;;10;3;1;;;;;
Schipluiden;G0607;10130;Zuid-Holland;P28;4662;4466;17;;4449;497;2651;824;213;51;7;60;30;15;10;30;12;9;38;2;;;;;;;;;
Schoonebeek;G0129;10064;Drenthe;P22;5027;4431;13;;4418;1274;2578;306;70;6;20;44;13;13;48;11;3;2;19;5;;2;;4;;;;;
Schoonhoven;G0608;10980;Zuid-Holland;P28;7131;6550;51;;6499;1927;1974;1349;423;350;38;130;43;68;32;53;41;29;13;19;1;4;4;1;;;;;
Schoonrewoerd;G0609;10214;Zuid-Holland;P28;937;857;3;;854;126;291;114;29;222;2;5;9;;27;4;24;;;1;;;;;;;;;
Schoorl;G0444;10627;Noord-Holland;P27;4342;4181;43;;4138;1238;988;1219;363;7;47;85;8;54;38;36;10;12;19;2;;3;3;4;2;;;;
Sevenum;G0964;10045;Limburg;P31;4243;3798;35;;3763;578;2482;410;102;;5;57;;28;23;5;;2;63;7;;;;1;;;;;
's-Graveland;G0390;10534;Noord-Holland;P27;6166;5592;32;;5560;1344;1731;1466;552;112;38;82;45;41;31;39;39;14;20;2;;2;1;1;;;;;
's-Gravendeel;G0517;10052;Zuid-Holland;P28;5111;4666;20;;4646;1856;1336;732;206;317;16;32;47;10;10;20;46;11;1;1;3;;;;;2;;;
's-Gravenhage;G0518;11434;Zuid-Holland;P28;352986;297354;1439;;295915;110770;62658;71455;19842;3318;5130;4458;1370;2801;1225;4839;1169;3985;1045;1194;173;130;80;135;;49;;89;
's-Gravenmoer;G0787;10469;Noord-Brabant;P30;1286;1191;7;;1184;227;652;153;38;35;1;10;11;4;14;1;32;;;5;;1;;;;;;;
's-Gravenzande;G0519;10640;Zuid-Holland;P28;10608;9705;61;;9644;2081;3772;2430;382;453;25;79;89;30;60;51;136;39;11;5;;;;1;;;;;
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;59904;49209;294;;48915;18293;16321;7310;3109;32;472;1009;129;689;311;255;40;219;280;325;58;27;13;23;;;;;
Sijbekarspel;G0447;11167;Noord-Holland;P27;1236;1109;11;;1098;288;361;295;82;;9;21;;10;7;9;;2;13;;;;;1;;;;;
Simpelveld;G0965;10515;Limburg;P31;4445;4017;43;;3974;1075;1911;644;77;5;30;82;4;23;36;17;;9;47;6;;6;2;;;;;;
Sint Geertruid;G0966;10288;Limburg;P31;945;875;11;;864;152;542;93;25;;6;10;;6;9;3;;1;14;1;;1;1;;;;;;
Sint Maarten;G0445;10740;Noord-Holland;P27;1248;1124;12;;1112;351;319;265;91;3;13;17;;17;13;11;3;3;3;2;;;;1;;;;;
Sint Odiliënberg;G0967;10278;Limburg;P31;2310;1992;19;;1973;485;879;411;61;;5;34;1;8;30;5;1;5;36;;;6;3;3;;;;;
Sint Pancras;G0446;10513;Noord-Holland;P27;3231;3063;19;;3044;848;961;712;242;17;59;66;14;23;34;15;40;7;5;;;;;1;;;;;
Sint Philipsland;G0712;10394;Zeeland;P29;1515;1424;4;;1420;282;298;133;31;630;5;3;16;2;9;;11;;;;;;;;;;;;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;7699;6785;48;;6737;1968;2998;1043;331;4;37;81;12;35;97;39;6;15;55;14;1;1;;;;;;;
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;9493;8658;41;;8617;2054;4829;983;297;3;38;154;3;36;101;22;6;10;30;31;16;1;2;1;;;;;
Sittard;G0968;11230;Limburg;P31;23470;18981;194;;18787;6408;7259;2810;716;10;262;588;10;192;145;83;12;29;155;32;;60;8;8;;;;;
Sleen;G0130;10489;Drenthe;P22;5839;5456;27;;5429;2665;1137;1062;153;13;171;56;27;23;49;28;26;2;10;4;;2;;1;;;;;
Slenaken;G0969;11274;Limburg;P31;482;549;3;;546;147;245;97;20;1;5;6;4;1;5;3;3;2;6;1;;;;;;;;;
Sliedrecht;G0610;11331;Zuid-Holland;P28;15324;13663;87;;13576;5605;2428;1740;641;2317;105;118;156;54;72;62;199;38;7;7;11;5;4;6;;1;;;
Slochteren;G0040;10747;Groningen;P20;9587;8275;67;;8208;3388;1593;1581;242;14;149;97;750;88;113;35;96;41;12;4;;4;;1;;;;;
Sloten (F);G0089;10867;Fryslân;P21;440;448;1;;447;77;250;54;20;4;1;3;9;3;2;3;16;1;4;;;;;;;;;;
Sluis;G0713;10895;Zeeland;P29;2155;1907;14;;1893;627;552;535;53;6;5;27;8;6;37;6;3;8;16;1;;;3;;;;;;
Smallingerland;G0090;10405;Fryslân;P21;30006;27371;123;;27248;10799;9665;2679;1135;163;568;382;945;188;147;102;376;56;16;11;6;3;3;4;;;;;
Smilde;G0131;11033;Drenthe;P22;5417;4898;27;;4871;1724;2018;570;143;14;20;66;117;23;39;18;64;41;3;5;;2;3;1;;;;;
Sneek;G0091;11421;Fryslân;P21;18999;17066;85;;16981;6360;6279;2119;932;53;323;249;134;100;76;133;130;35;31;7;11;4;4;1;;;;;
Snelrewaard;G0341;10802;Utrecht;P26;458;426;4;;422;33;238;79;14;43;;1;;1;3;1;4;1;4;;;;;;;;;;
Soest;G0342;11021;Utrecht;P26;27948;24884;188;;24696;5077;7799;7805;1854;347;138;346;191;160;204;267;255;69;76;47;19;35;3;4;;;;;
Someren;G0847;10203;Noord-Brabant;P30;9796;8481;55;;8426;1188;5604;974;279;3;17;149;1;30;90;14;1;5;52;7;5;4;2;1;;;;;
Son en Breugel;G0848;10549;Noord-Brabant;P30;8859;8009;13;;7996;1335;3275;2342;656;2;12;141;19;52;71;58;5;5;12;8;2;1;;;;;;;
Spaubeek;G0970;10552;Limburg;P31;2445;2047;26;;2021;578;900;365;58;;10;37;2;3;22;21;2;6;12;1;;3;;1;;;;;
Spijkenisse;G0612;10735;Zuid-Holland;P28;20829;18335;84;;18251;9034;3097;3360;1401;258;204;230;83;122;59;110;80;107;11;74;6;8;5;1;;1;;;
Sprang-Capelle;G0849;11233;Noord-Brabant;P30;5302;4648;42;;4606;879;1871;641;129;699;26;48;33;16;137;24;71;13;8;2;7;;1;1;;;;;
Stad Delden;G0179;10913;Overijssel;P23;4686;4363;15;;4348;891;2150;875;222;7;5;54;15;26;33;28;9;5;21;6;;;1;;;;;;
Stadskanaal;G0037;10610;Groningen;P20;23013;20232;131;;20101;8109;7228;1866;434;95;565;173;664;76;142;70;543;33;73;12;;7;9;2;;;;;
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;1720;1571;9;;1562;396;813;242;56;3;7;14;1;1;9;7;;;9;;1;1;1;1;;;;;
Staphorst;G0180;11362;Overijssel;P23;7178;6822;27;;6795;805;1454;756;109;2183;12;25;644;14;415;15;349;9;2;2;;;1;;;;;;
Stavoren;G0092;10240;Fryslân;P21;636;573;6;;567;127;301;84;29;3;2;8;;3;2;3;3;1;;;;;1;;;;;;
Stedum;G0041;10771;Groningen;P20;1384;1258;5;;1253;374;605;101;24;3;14;21;67;19;7;1;12;;;1;;1;2;1;;;;;
Steenbergen;G0851;10731;Noord-Brabant;P30;9280;8013;70;;7943;3087;2911;1266;287;17;37;55;4;43;128;24;2;14;53;1;9;2;3;;;;;;
Steenderen;G0280;10497;Gelderland;P25;3068;2869;8;;2861;582;1648;388;99;18;2;31;2;3;44;3;16;3;16;4;;;1;;;1;;;
Steenwijk;G0181;10546;Overijssel;P23;14374;13151;27;;13124;5106;4440;1977;564;63;92;236;215;86;140;72;95;11;15;9;;1;;2;;;;;
Stein;G0971;11319;Limburg;P31;8766;7368;76;;7292;2444;3035;1043;259;6;51;110;;45;80;39;4;21;78;8;;63;5;1;;;;;
Stevensweert;G0972;11203;Limburg;P31;1070;992;12;;980;202;541;135;24;1;9;11;2;4;26;4;1;5;10;2;;3;;;;;;;
Stolwijk;G0615;11250;Zuid-Holland;P28;2879;2672;45;;2627;860;388;691;118;446;11;20;2;9;51;14;9;6;1;1;;;;;;;;;
