RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP (Socialistische Partij);De Groenen;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie
Aalburg;G0738;11084;Noord-Brabant;P30;7619;6537;28;;6509;2712;1019;513;206;96;1555;137;223;23;6;7;6;2;;1;3;;;;;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;16904;14231;50;;14181;6206;2612;3361;1107;342;82;131;164;95;3;39;20;5;5;2;;2;4;;;1;;;;
Aalten;G0197;11046;Gelderland;P25;13500;11584;28;;11556;6672;2683;933;505;303;27;105;234;33;3;22;11;;2;3;8;4;7;1;;;;;;
Aardenburg;G0648;11020;Zeeland;P29;2674;2186;4;;2182;953;634;411;94;45;11;8;3;10;;7;3;;1;;2;;;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;4181;3566;16;;3550;1833;922;405;239;71;2;10;12;19;12;11;4;4;;;5;;;1;;;;;;
Abcoude;G0305;10712;Utrecht;P26;5885;5200;22;;5178;1957;880;1334;568;175;63;78;35;38;4;26;12;2;2;1;1;1;;;1;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;19787;17514;57;;17457;7261;6519;987;655;371;191;808;563;26;11;29;8;;9;9;6;3;;1;;;;;;
Adorp;G0001;10996;Groningen;P20;1337;1214;0;;1214;436;322;146;74;84;3;124;5;2;3;3;5;;1;6;;;;;;;;;;
Aduard;G0002;10999;Groningen;P20;2101;1880;1;;1879;607;647;203;103;59;1;229;8;2;2;4;2;;1;10;1;;;;;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;3811;3285;11;;3274;1510;618;577;381;107;2;7;12;15;10;18;10;3;2;1;1;;;;;;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;12896;10807;34;;10773;2668;4207;1176;702;291;1153;171;249;98;14;18;6;12;;;3;4;;1;;;;;;
Albrandswaard;G0613;10124;Zuid-Holland;P28;10862;9009;27;;8982;3182;2263;1923;826;244;206;114;55;94;10;28;12;6;6;4;8;1;;;;;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;10141;8653;11;;8642;4979;1303;1396;515;290;14;20;11;39;6;28;10;10;1;4;3;3;;9;;1;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;64433;50089;143;;49946;14236;17766;7871;4909;3155;92;340;237;428;250;300;101;83;48;27;31;9;46;17;;;;;;
Almelo;G0141;11053;Overijssel;P23;44437;36360;103;;36257;12193;15613;4047;2214;884;128;344;315;219;97;64;31;22;26;13;7;9;28;3;;;;;;
Almere;G0034;10018;Flevoland;P24;46243;34848;84;;34764;6079;13493;7498;4159;1880;40;214;114;783;117;154;84;;72;30;19;19;;9;;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;44028;34842;101;;34741;12453;8101;7228;3220;1322;580;420;551;225;426;83;50;16;4;25;32;2;;2;;1;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;4505;3834;11;;3823;2333;628;474;263;74;1;4;1;17;5;9;4;;2;2;6;;;;;;;;;
Ambt Delden;G0142;11400;Overijssel;P23;4030;3712;4;;3708;2722;423;381;112;38;4;12;2;9;2;;1;1;;1;;;;;;;;;;
Ameland;G0060;11153;Fryslân;P21;2382;2920;5;;2915;1279;851;440;176;99;6;32;7;6;1;8;4;;;5;1;;;;;;;;;
Amerongen;G0306;11372;Utrecht;P26;5036;4350;9;;4341;1560;1070;775;244;91;392;40;107;28;9;10;5;2;1;4;1;;;1;;1;;;;
Amersfoort;G0307;10948;Utrecht;P26;73373;57742;132;;57610;18947;16527;9082;5275;3291;817;2180;480;478;86;157;76;96;43;30;6;11;;4;11;7;6;;;
Ammerzoden;G0198;10151;Gelderland;P25;3148;2736;11;;2725;1618;587;240;135;36;46;5;23;11;3;8;1;;1;2;4;1;3;1;;;;;;
Amstelveen;G0362;10799;Noord-Holland;P27;55227;45728;116;;45612;13393;10536;12627;5553;1935;144;275;235;384;48;220;109;43;19;44;11;5;26;4;;1;;;;
Amsterdam;G0363;11150;Noord-Holland;P27;508361;360029;1260;;358769;54660;152832;48775;39496;38867;559;1262;1163;11182;1140;4268;803;718;1507;279;320;127;264;96;88;91;218;;54;
Andijk;G0364;10822;Noord-Holland;P27;4212;3626;7;;3619;1567;865;476;202;159;51;32;210;20;3;20;5;3;5;;1;;;;;;;;;
Angerlo;G0199;11131;Gelderland;P25;3277;2871;11;;2860;1390;942;247;200;48;2;2;6;10;;9;2;;;;2;;;;;;;;;
Anloo;G0105;10787;Drenthe;P22;5746;5062;13;;5049;632;2372;1330;440;153;1;42;19;10;11;9;13;;5;9;2;1;;;;;;;;
Anna Paulowna;G0366;10344;Noord-Holland;P27;7568;6287;21;;6266;2499;1444;1540;432;176;10;55;36;30;4;8;11;2;4;9;;1;2;3;;;;;;
Apeldoorn;G0200;11075;Gelderland;P25;110300;90076;185;;89891;30742;27887;14719;7973;2867;2117;1176;1156;465;115;296;112;102;43;46;42;21;;12;;;;;;
Appingedam;G0003;10886;Groningen;P20;9612;8079;28;;8051;2121;4120;718;440;292;18;167;63;17;17;8;5;;20;32;6;6;;1;;;;;;
Arcen en Velden;G0885;10202;Limburg;P31;6414;5431;12;;5419;3365;1023;520;300;149;3;4;5;7;19;8;6;6;3;1;;;;;;;;;;
Arnemuiden;G0649;11419;Zeeland;P29;3155;2645;12;;2633;727;505;238;113;42;646;32;289;32;;;3;;1;4;1;;;;;;;;;
Arnhem;G0202;10795;Gelderland;P25;99581;75381;227;;75154;20380;30147;9857;6951;4717;192;625;345;678;569;316;117;75;28;48;66;16;;27;;;;;;
Assen;G0106;10522;Drenthe;P22;37256;31137;113;;31024;6769;13486;4307;2551;1422;45;1684;304;129;102;72;32;;16;93;6;4;;2;;;;;;
Asten;G0743;10478;Noord-Brabant;P30;10936;9223;26;;9197;5762;1760;812;486;273;5;8;5;12;27;9;12;11;1;3;9;1;;1;;;;;;
Avereest;G0143;11190;Overijssel;P23;10650;9239;22;;9217;4287;2636;1160;459;144;55;202;208;25;7;18;9;2;;1;;1;2;1;;;;;;
Axel;G0650;11289;Zeeland;P29;9017;6765;32;;6733;2422;2098;846;337;151;97;653;52;47;4;12;6;;4;2;;2;;;;;;;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4276;3420;14;;3406;2019;681;427;156;68;3;8;14;14;1;6;5;;;1;3;;;;;;;;;
Baarn;G0308;11411;Utrecht;P26;18848;15474;69;;15405;5025;3644;3759;1430;604;185;188;262;118;34;77;21;25;6;11;6;3;;3;1;1;2;;;
Baexem;G0886;11255;Limburg;P31;1832;1547;1;;1546;967;300;144;81;34;;6;2;5;;2;2;2;;1;;;;;;;;;;
Baflo;G0004;10539;Groningen;P20;2125;1886;3;;1883;640;645;227;137;98;5;92;17;1;4;7;1;;;8;1;;;;;;;;;
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;5590;4425;19;;4406;2987;753;334;181;108;;1;;6;8;5;2;9;;4;4;2;;2;;;;;;
Barendrecht;G0489;10943;Zuid-Holland;P28;14712;12717;42;;12675;4945;2317;2303;1151;351;923;235;211;134;26;27;13;14;;20;2;1;;2;;;;;;
Barneveld;G0203;10906;Gelderland;P25;29153;25539;56;;25483;11869;2807;3218;965;346;4178;511;1380;101;14;41;12;8;6;12;9;3;;3;;;;;;
Barsingerhorn;G0369;10973;Noord-Holland;P27;2944;2319;8;;2311;425;1049;543;148;98;;1;9;14;2;5;4;1;7;;5;;;;;;;;;
Bathmen;G0144;11030;Overijssel;P23;3953;3575;10;;3565;1173;905;1040;330;77;1;8;7;12;;4;3;4;;;1;;;;;;;;;
Bedum;G0005;10425;Groningen;P20;7138;6529;12;;6517;2687;1697;579;380;192;17;820;91;20;2;14;3;;1;12;1;1;;;;;;;;
Beegden;G0887;11089;Limburg;P31;1345;1150;3;;1147;564;359;123;65;29;;2;;2;;2;;;1;;;;;;;;;;;
Beek;G0888;11374;Limburg;P31;12770;10473;39;;10434;5098;3066;1163;653;304;3;11;7;41;25;16;16;18;2;4;2;;;5;;;;;;
Beek en Donk;G0746;10173;Noord-Brabant;P30;6837;5513;16;;5497;2942;1577;381;291;232;5;3;7;14;20;8;2;7;;;7;;;1;;;;;;
Beemster;G0370;10816;Noord-Holland;P27;5932;5152;15;;5137;1726;1270;1455;446;155;5;14;12;16;8;16;4;1;2;1;2;1;2;1;;;;;;
Beers;G0747;11410;Noord-Brabant;P30;2333;2106;3;;2103;1361;400;171;93;48;1;2;;7;3;4;5;5;;3;;;;;;;;;;
Beerta;G0006;11043;Groningen;P20;2379;2060;8;;2052;94;1342;185;44;127;2;4;4;9;8;1;7;;220;3;2;;;;;;;;;
Beesel;G0889;10195;Limburg;P31;9332;6910;30;;6880;3766;1956;541;337;173;4;8;3;37;7;17;11;11;4;;3;1;;1;;;;;;
Beilen;G0107;10520;Drenthe;P22;10734;9589;25;;9564;2949;4066;1396;537;237;28;228;60;17;14;12;3;;4;6;5;1;;1;;;;;;
Belfeld;G0890;10292;Limburg;P31;3854;3007;8;;2999;1632;823;267;178;60;;;1;15;6;7;3;2;;2;1;2;;;;;;;;
Bellingwedde;G0007;10340;Groningen;P20;7480;6441;21;;6420;940;4005;737;290;221;11;34;74;15;7;20;2;;32;23;5;3;;1;;;;;;
Bemmel;G0206;10744;Gelderland;P25;11905;9710;34;;9676;5077;2888;864;547;185;11;13;10;19;8;25;6;;2;3;5;6;7;;;;;;;
Bennebroek;G0372;10734;Noord-Holland;P27;4527;3855;12;;3843;1586;568;1128;341;135;15;18;11;11;3;14;6;1;2;2;;;1;1;;;;;;
Benthuizen;G0490;10398;Zuid-Holland;P28;2443;2132;4;;2128;645;306;399;173;42;451;29;67;3;1;;5;1;;;;;;;;6;;;;
Bergambacht;G0491;10962;Zuid-Holland;P28;6675;5896;11;;5885;1625;1740;1080;371;135;711;61;103;30;5;11;1;5;2;3;1;;;;;1;;;;
Bergen;G0373;11424;Noord-Holland;P27;10830;9301;18;;9283;2938;2191;2447;923;451;6;28;30;49;6;159;19;17;7;1;2;4;4;1;;;;;;
Bergen;G0893;11281;Limburg;P31;9772;7925;35;;7890;4664;2072;578;339;147;2;13;3;25;9;15;4;6;2;5;3;1;;2;;;;;;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;33829;25169;83;;25086;9565;7694;4008;2102;824;44;66;43;466;86;73;47;;13;10;32;7;;6;;;;;;
Bergeyk;G0749;11160;Noord-Brabant;P30;7457;6368;14;;6354;3888;1259;599;314;179;23;12;16;20;6;11;8;4;2;2;6;2;;3;;;;;;
Bergh;G0207;10350;Gelderland;P25;13639;11145;47;;11098;5625;3631;1027;490;172;13;18;13;31;12;24;7;;1;4;10;8;12;;;;;;;
Berghem;G0750;10733;Noord-Brabant;P30;4223;3500;9;;3491;1521;1273;227;182;55;;4;1;19;191;5;1;2;;;9;;;1;;;;;;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;5642;4831;10;;4821;2278;748;969;348;122;62;127;69;57;1;24;5;6;1;2;1;1;;;;;;;;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;11351;9991;21;;9970;4822;1295;1767;852;230;54;708;92;61;13;33;13;10;3;7;7;3;;;;;;;;
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;7779;6890;7;;6883;3596;1218;1255;563;182;6;14;2;16;8;8;5;;2;;5;1;;2;;;;;;
Berlicum;G0752;10362;Noord-Brabant;P30;6439;5452;16;;5436;2748;1544;524;389;104;4;7;3;12;78;8;7;1;;1;3;1;;2;;;;;;
Bernisse;G0568;10316;Zuid-Holland;P28;9324;7720;31;;7689;2611;1986;1729;802;206;132;35;59;57;9;21;10;6;3;11;4;6;;2;;;;;;
Best;G0753;10442;Noord-Brabant;P30;16159;13030;36;;12994;6003;3581;1724;1005;329;16;88;36;67;51;36;21;19;3;3;4;5;;3;;;;;;
Beuningen;G0209;10417;Gelderland;P25;16181;12618;57;;12561;5416;3982;1436;1064;416;14;48;10;51;37;38;20;;2;11;8;2;4;2;;;;;;
Beverwijk;G0375;10272;Noord-Holland;P27;27052;21014;73;;20941;7017;7616;2852;1703;1057;43;87;106;163;24;112;34;33;29;10;13;8;33;1;;;;;;
Bierum;G0008;11294;Groningen;P20;3242;2809;4;;2805;1165;954;298;181;83;11;48;31;4;3;4;2;;;17;3;;;1;;;;;;
Binnenmaas;G0585;10222;Zuid-Holland;P28;13998;11954;43;;11911;3771;3260;2570;971;289;676;91;113;88;17;28;12;6;4;7;3;3;;2;;;;;;
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;7379;5841;23;;5818;3336;1236;577;355;214;13;10;6;11;14;14;15;6;;8;3;;;;;;;;;
Blaricum;G0376;10493;Noord-Holland;P27;7831;6709;9;;6700;2147;1278;2193;692;234;17;41;21;32;;21;7;6;4;3;;2;;2;;;;;;
Bleiswijk;G0495;10994;Zuid-Holland;P28;6313;5436;13;;5423;2452;769;1310;415;90;140;68;116;28;1;11;9;6;;2;2;2;;2;;;;;;
Bloemendaal;G0377;10850;Noord-Holland;P27;13746;12055;39;;12016;3931;1765;4437;1218;332;37;77;44;45;7;53;16;12;10;13;5;2;11;1;;;;;;
Boarnsterhim;G0055;10815;Fryslân;P21;13332;11882;33;;11849;2537;5798;1948;921;406;46;47;52;33;11;25;5;;5;11;2;1;;1;;;;;;
Bodegraven;G0497;11091;Zuid-Holland;P28;12872;10698;22;;10676;5000;1858;1740;756;263;489;169;276;58;11;26;11;1;10;5;1;;;2;;;;;;
Boekel;G0755;10432;Noord-Brabant;P30;6431;5407;27;;5380;3386;1149;399;236;135;2;3;7;9;23;12;6;5;;2;5;;;1;;;;;;
Bolsward;G0064;10865;Fryslân;P21;7381;6225;22;;6203;2654;2212;542;429;209;9;62;44;10;3;13;9;;1;3;3;;;;;;;;;
Borculo;G0211;11307;Gelderland;P25;7588;6608;28;;6580;2096;2468;1320;421;167;7;28;22;18;4;9;4;;2;1;2;5;6;;;;;;;
Borger;G0108;10448;Drenthe;P22;9782;8949;34;;8915;2050;4512;1347;518;237;11;107;64;12;7;16;6;;3;23;;;;2;;;;;;
Born;G0897;10927;Limburg;P31;10516;8867;35;;8832;4703;2598;729;444;207;12;8;16;36;19;16;11;7;8;3;3;8;;4;;;;;;
Borne;G0147;10326;Overijssel;P23;15777;13853;12;;13841;6868;3878;1591;942;318;14;57;53;22;34;21;10;8;3;6;7;1;7;1;;;;;;
Borsele;G0654;10043;Zeeland;P29;14882;12370;22;;12348;5350;2699;1417;776;297;1397;141;144;66;6;23;14;;1;8;2;6;;1;;;;;;
Boskoop;G0499;10419;Zuid-Holland;P28;10525;9113;30;;9083;3861;1539;1851;733;412;307;108;164;58;7;23;4;2;2;7;1;4;;;;;;;;
Boxmeer;G0756;11227;Noord-Brabant;P30;10769;9229;24;;9205;4707;2632;846;560;300;8;8;14;21;54;19;10;5;4;;11;1;;5;;;;;;
Boxtel;G0757;10083;Noord-Brabant;P30;18183;14349;40;;14309;5986;4501;1470;1027;466;12;37;15;51;662;46;12;;9;5;;4;;6;;;;;;
Brakel;G0212;11125;Gelderland;P25;4680;4030;14;;4016;1321;1079;286;110;45;974;35;129;18;5;6;1;;1;1;2;;3;;;;;;;
Breda;G0758;10154;Noord-Brabant;P30;94467;68250;158;;68092;22697;22900;10318;6729;3286;159;219;162;880;172;315;107;;35;48;40;10;;15;;;;;;
Brederwiede;G0194;11088;Overijssel;P23;8956;7990;17;;7973;3227;2476;939;408;125;60;597;92;21;2;13;5;1;1;4;2;;;;;;;;;
Breukelen;G0311;10807;Utrecht;P26;10227;8709;26;;8683;3507;1396;1807;810;307;493;87;185;47;10;20;6;6;1;;1;;;;;;;;;
Brielle;G0501;10232;Zuid-Holland;P28;11518;9451;27;;9424;2615;2784;2343;1063;290;57;49;53;80;12;28;13;16;5;7;6;3;;;;;;;;
Broek in Waterland;G0380;10289;Noord-Holland;P27;2099;1830;3;;1827;500;512;459;228;77;3;4;8;21;2;7;4;1;;;1;;;;;;;;;
Broekhuizen;G0898;10856;Limburg;P31;1371;1189;3;;1186;754;208;117;56;38;;2;1;4;1;1;2;;;;1;1;;;;;;;;
Brouwershaven;G0656;10030;Zeeland;P29;2817;2455;7;;2448;565;906;530;184;59;59;83;24;10;4;12;6;;4;1;1;;;;;;;;;
Bruinisse;G0657;11291;Zeeland;P29;2360;2117;5;;2112;634;561;321;89;27;368;25;71;7;3;3;;;;1;1;;;1;;;;;;
Brummen;G0213;10798;Gelderland;P25;15579;13230;43;;13187;3622;5594;2213;1036;384;35;58;66;47;10;72;18;8;4;5;9;6;;;;;;;;
Brunssum;G0899;10533;Limburg;P31;23360;17535;86;;17449;6610;7802;1082;856;419;14;132;42;114;207;31;28;47;36;12;7;6;;4;;;;;;
Budel;G0759;10219;Noord-Brabant;P30;8773;6802;14;;6788;3755;1887;584;317;117;13;8;12;27;19;15;9;7;2;3;5;;;8;;;;;;
Bunnik;G0312;10820;Utrecht;P26;10506;9230;18;;9212;3917;1726;1779;924;489;149;79;44;45;9;23;10;4;5;3;1;;;1;;1;3;;;
Bunschoten;G0313;11343;Utrecht;P26;12186;11047;40;;11007;4902;756;811;315;88;375;3042;644;50;2;9;1;3;2;4;;2;;;;;1;;;
Buren;G0214;11286;Gelderland;P25;7282;6188;14;;6174;1758;2010;1457;458;143;154;27;43;56;18;29;5;;;6;6;1;2;1;;;;;;
Bussum;G0381;10281;Noord-Holland;P27;25336;20327;21;;20306;6399;4665;5355;1948;1007;158;242;168;125;19;94;22;53;19;10;9;6;3;1;;3;;;;
Callantsoog;G0382;10559;Noord-Holland;P27;1949;1642;1;;1641;468;454;499;118;57;3;5;8;4;8;8;3;1;4;;1;;;;;;;;;
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;43168;32738;42;;32696;7698;10449;6348;3486;975;1883;750;261;471;133;104;39;23;24;29;10;7;;3;;3;;;;
Castricum;G0383;11287;Noord-Holland;P27;17464;14884;36;;14848;5312;3499;3162;1785;748;14;72;35;56;18;80;25;7;8;10;6;2;8;1;;;;;;
Chaam;G0760;11433;Noord-Brabant;P30;2738;2453;6;;2447;1401;469;334;156;58;;;2;8;2;4;5;;1;1;6;;;;;;;;;
Coevorden;G0109;10383;Drenthe;P22;10959;9482;38;;9444;3493;4139;957;453;177;12;45;93;24;11;17;6;;9;4;2;2;;;;;;;;
Cothen;G0314;11316;Utrecht;P26;1808;1580;1;;1579;944;259;186;98;33;32;3;9;6;2;1;1;1;1;;1;2;;;;;;;;
Cromstrijen;G0611;11346;Zuid-Holland;P28;9007;7566;9;;7557;2112;2574;1413;635;170;464;38;79;34;4;14;5;4;3;4;4;;;;;;;;;
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;12281;9690;22;;9668;4011;3419;944;752;353;7;9;5;68;45;19;23;1;3;1;3;1;;4;;;;;;
Culemborg;G0216;10342;Gelderland;P25;15199;12152;5;;12147;4053;3899;1952;1016;472;201;58;54;151;219;30;14;;9;5;9;;4;1;;;;;;
Dalen;G0110;11004;Drenthe;P22;4073;3805;10;;3795;936;1547;966;233;77;2;11;9;6;1;3;2;;;;2;;;;;;;;;
Dalfsen;G0148;11007;Overijssel;P23;11174;10071;16;;10055;5790;1613;1028;470;152;52;785;113;13;3;12;8;3;;9;;3;1;;;;;;;
Dantumadeel;G0065;10650;Fryslân;P21;13850;12090;41;;12049;4890;4133;717;512;213;697;363;454;18;3;21;6;;5;6;5;5;;1;;;;;;
De Bilt;G0310;10168;Utrecht;P26;25030;21659;64;;21595;6506;4869;5761;2488;880;262;380;166;127;34;74;23;3;5;4;6;1;;1;1;;4;;;
De Lier;G0552;10241;Zuid-Holland;P28;7172;6180;13;;6167;3943;579;931;352;97;42;124;25;47;4;9;5;4;1;2;1;1;;;;;;;;
De Ronde Venen;G0736;11379;Utrecht;P26;22661;18716;64;;18652;8833;2528;4282;1506;458;369;198;295;109;8;23;14;12;4;3;2;2;;3;1;1;1;;;
De Wijk;G0135;10753;Drenthe;P22;3711;3261;8;;3253;926;1091;848;245;70;4;33;4;13;3;10;;;3;2;1;;;;;;;;;
Delft;G0503;10928;Zuid-Holland;P28;68722;54296;167;;54129;14504;18265;7743;6706;4180;501;523;375;572;179;269;106;63;28;35;45;16;;19;;;;;;
Delfzijl;G0010;10976;Groningen;P20;17733;14137;31;;14106;3178;6863;1765;1039;473;25;274;230;73;57;31;15;;31;41;6;4;;1;;;;;;
Den Dungen;G0768;10491;Noord-Brabant;P30;3238;2785;13;;2772;1510;806;198;148;59;2;3;1;5;22;7;4;3;;;2;1;;1;;;;;;
Den Ham;G0159;10395;Overijssel;P23;10440;9079;25;;9054;4930;2458;452;238;104;77;444;317;8;;11;2;3;2;5;1;;;2;;;;;;
Den Helder;G0400;10285;Noord-Holland;P27;46808;33523;92;;33431;9976;10640;7256;3096;839;168;430;420;280;56;84;42;28;18;28;19;11;33;7;;;;;;
Denekamp;G0149;10245;Overijssel;P23;9204;8365;17;;8348;5874;1409;538;320;130;17;4;11;15;2;8;9;1;;1;3;;6;;;;;;;
Deurne;G0762;10379;Noord-Brabant;P30;21594;17112;51;;17061;9952;3954;1528;871;513;14;27;5;69;59;23;11;12;7;6;6;;;4;;;;;;
Deventer;G0150;10899;Overijssel;P23;49258;40079;128;;39951;9015;18787;4974;3584;2425;86;247;212;226;46;132;56;37;27;15;39;14;28;1;;;;;;
